question,answer
one dose amoxicillin how many capsule,"Infection	Severity‡	Usual Adult Dose	Usual Dose for Children >3 months§ π
Ear/Nose/Throat	Mild/Moderate	500 mg every12 hours or 250 mg every 8 hours	25 mg/kg/day in divided doses every 12 hours or 20 mg/kg/day in divided doses every 8 hours
 	Severe	875 mg every 12 hours or 500 mg every 8 hours	45 mg/kg/day in divided doses every 12 hours or 40 mg/kg/day in divided doses every 8 hours
Lower Respiratory Tract	Mild/Moderate or Severe	875 mg every 12 hours or 500 mg every 8 hours	45 mg/kg/day in divided doses every 12 hours or 40 mg/kg/day in divided doses every 8 hours
Skin/Skin Structure	Mild/Moderate	500 mg every12 hours or 250 mg every 8 hours	25 mg/kg/day in divided doses every 12 hours or 20 mg/kg/day in divided doses every 8 hours
 	Severe	875 mg every12 hours or 500 mg every 8 hours	45 mg/kg/day in divided doses every 12 hours or 40 mg/kg/day in divided doses every 8 hours
Genitourinary Tract	Mild/Moderate	500 mg every12 hours or 250 mg every 8 hours	25 mg/kg/day in divided doses every 12 hours or 20 mg/kg/day in divided doses every 8 hours
 	Severe	875 mg every12 hours or 500 mg every 8 hours	45 mg/kg/day in divided doses every 12 hours or 40 mg/kg/day in divided doses every 8 hours
Gonorrhea Acute, uncomplicated ano-genital and urethral infections in males and females	 	3 grams as single oral dose	Prepubertal children: 50 mg/kg amoxicillin, combined with 25 mg/kg probenecid as a single dose.NOTE: SINCE PROBENECID IS CONTRAINDICATED IN CHILDREN UNDER 2 YEARS, DO NOT USE THIS REGIMEN IN THESE CASES."
what are the active incredience in balsalazide,BALSALAZIDE DISODIUM
"does corticosteroids cause i ""insomnia?""","Psychic  derangements  may  appear  when  corticosteroids  are used, ranging from euphoria, insomnia, mood swings, personality changes, and severe depression, to frank psychotic manifestations. Also, existing emotional instability or psychotic tendencies may be aggravated by corticosteroids."
how to give insulin,Insulin comes as a solution (liquid) and a suspension (liquid with particles that will settle on standing) to be injected subcutaneously (under the skin). Insulin is usually injected several times a day … [whole section]
how long it takes for withdrawals to go away on oxycodone,"Withdrawal from oxycodone usually starts within 8-12 hours of taking the drug, and it peaks in the first 72 hours. Symptoms generally subside in about a week, although some of the psychological effects and drug cravings may persist for longer."
what happens if your child ate a tylenol tablet,"In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222) Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms."
why did my doctor give me level iracetam,Levetiracetam is used in combination with other medications to treat certain types of seizures in adults and children with epilepsy. Levetiracetam is in a class of medications called anticonvulsants. It works by decreasing abnormal excitement in the brain.
what is acetylcholine how does it work,"Acetylcholine functions in both the central nervous system (CNS) and the peripheral nervous system (PNS). In the CNS, cholinergic projections from the basal forebrain to the cerebral cortex and hippocampus support the cognitive functions of those target areas. In the PNS, acetylcholine activates muscles and is a major neurotransmitter in the autonomic nervous system."
what does metformin do,"Metformin helps to control the amount of glucose (sugar) in your blood. It decreases the amount of glucose you absorb from your food and the amount of glucose made by your liver. Metformin also increases your body's response to insulin, a natural substance that controls the amount of glucose in the blood. "
how fast does teh medications take to work amlodipine,"After oral administration of therapeutic doses of amlodipine besylate, absorption produces peak plasma concentrations between 6 and 12 hours."
what is clotrimazole betamethasone dipropionate cream,"What is clotrimazole and betamethasone dipropionate cream?

Clotrimazole and betamethasone dipropionate cream is a prescription medication used on the skin (topical) to treat fungal infections of the feet, groin, and body in people 17 years of age and older. Clotrimazole and betamethasone dipropionate cream is used for fungal infections that are inflamed and have symptoms of redness or itching."
td vaccine (90714)what is a tad vaccine,"Td vaccine can protect adolescents and adults from tetanus and diphtheria. Td is usually given as a booster dose every 10 years but it can also be given earlier after a severe and dirty wound or burn.

Another vaccine, called Tdap, which protects against pertussis in addition to tetanus and diphtheria, is sometimes recommended instead of Td vaccine."
do i take a statin with or without food ?,"Read the label on the bottle carefully. Some brands should be taken with food. Others may be taken with, or without food."
what do i mix albuterol sulfate inhalation solution with in my nebulizer?,"Albuterol sulfate inhalation solution is supplied as a single-dose, ready-to-use vial containing 3 mL of solution. No mixing or dilution is needed. Use one new vial with each nebulizer treatment."
how do steroids effect the digestive system,"Corticosteroid use was associated with increased risk of gastrointestinal bleeding and perforation. The increased risk was statistically significant for hospitalised patients only. For patients in ambulatory care, the total occurrence of bleeding or perforation was very low, and the increased risk was not statistically significant."
what does flomax medication do?,"Tamsulosin is used in men to treat the symptoms of an enlarged prostate (benign prostatic hyperplasia or BPH) which include difficulty urinating (hesitation, dribbling, weak stream, and incomplete bladder emptying), painful urination, and urinary frequency and urgency. Tamsulosin is in a class of medications called alpha blockers. It works by relaxing the muscles in the prostate and bladder so that urine can flow easily."
how do you pronounce humira,Hu·​mira | \ hyü-ˈmer-ə
how to come off citalopram,"If you suddenly stop taking citalopram, you may experience withdrawal symptoms such as mood changes, irritability, agitation, dizziness, numbness, tingling or electric shock-like sensations in the hands or feet, anxiety, confusion, headache, tiredness, nausea, sweating, shaking, and difficulty falling asleep or staying asleep. Do not stop taking citalopram without talking to your doctor. Your doctor will probably decrease your dose gradually."
what is pepsin,"Pepsin is a potent enzyme in gastric juice that digests proteins such as those in meat, eggs, seeds, and dairy products [12]."
where does marijuana come from,"Marijuana is a green, brown, or gray mix of dried, crumbled parts from the marijuana plant."
when to start tamiflu,"TAMIFLU is indicated for the treatment of acute, uncomplicated illness due to influenza A and B infection in patients 2 weeks of age and older who have been symptomatic for no more than 48 hours.
1.2 Prophylaxis of Influenza
TAMIFLU is indicated for the prophylaxis of influenza A and B in patients 1 year and older."
"any ""side effects"" when stop taking clopidogrel","Discontinuation of clopidogrel bisulfate increases the risk of cardiovascular events. If clopidogrel must be temporarily discontinued (e.g., to treat bleeding or for surgery with a major risk of bleeding), restart it as soon as possible. When possible, interrupt therapy with clopidogrel for five days prior to such surgery. Resume clopidogrel as soon as hemostasis is achieved."
what is medication for singular 10 mg.,"SINGULAIR is indicated for the prophylaxis and chronic treatment of asthma in adults and pediatric patients 12 months of age and older. SINGULAIR is indicated for prevention of exercise-induced bronchoconstriction in patients 15 years of age and older. SINGULAIR is indicated for the relief of symptoms of allergic rhinitis (seasonal allergic rhinitis in adults and pediatric patients 2 years of age and older, and perennial allergic rhinitis in adults and pediatric patients 6 months of age and older)."
